,question,answer,non_prep_question
3009,почему мужчина отрицать то что у женщина тоже есть такой полова орган как лен,А ну покажи!,"Почему мужчины отрицают, то, что у женщин тоже есть такой половой орган как *лен?"
3010,как выдержать час без остановка,Некоторые и по 8 работают. Каждый день.,Как выдержать 6 часов без остановки?
3011,как добиться успех у молодой красотка только не надо я втирать про миллион и недвижимость,тогда никак. эти товарки должны видеть выгоду.,как добиться успеха у молодых красоток? только не надо мне втирать про миллионы и недвижимость
3012,вот зачем надо так поступать какой разница вообще какой вероисповедание,"Раз не приняла, то это всё.",вот зачем надо так поступать? какая разница вообще какого вероисповедания?
3013,от какой женщина шарахаться мужчина как от чума,ни от какихим пох с кем,от каких женщин шарахаются мужчины как от чумы?
3014,от какой мужчина шарахаться женщина как от чума,От набожного,от каких мужчин шарахаются женщины как от чумы?
3015,если невозможно наладить тёплый отношение что делать,Вычеркнуть и забыть.,"Если невозможно наладить тёплые отношения, что делать?"
3016,стоить ли дарить мужчина дорогой подарок если ещё замуж не взять,Не надо дарить дорогих подарков. не потому что жалко. а потому что человеку может быть не ловко. Будет считать себя обязанным. Лучше не дорогое. но со смыслом. со вкусом и памятное.,Стоит ли дарить мужчине дорогие подарки если ещё замуж не взял?
3017,о чем поговорить с парень,Ты боишься. а он смело идет. и его не смущает что он тоже молчит. Просто гуляйте. а темы сами найдутся.,О чем поговорить с парнем?
3018,почему в я влюбляться либо женатый либо алкоголик я нормальный адекватный симпатичный,В женщину приятной внешности и красивым голоском любой может влюбиться.,"Почему в меня влюбляются либо женатые, либо алкоголики? Я нормальная, адекватная, симпатичная"
3019,захотеть ли парень вернуться сам после расставание,"Займись своей фигурой, если он тебе так нужен!",Захочет ли парень вернуться сам после расставания?
3020,что ответить девушка на ни пух ни перо,В попу,"Что ответить девушке на ""ни пуха ни пера""?"
3021,вы тоже бесить когда вы менять имидж вы кто нибыть отвесить сомнительный комплимент ты так хороший,Нет. Я адекватна.,Вас тоже бесит когда вы меняете имидж вам кто нибудь отвесит сомнительный комплимент-ТЕБЕ ТАК ЛУЧШЕ!...
3022,вопрос про поиск девушка в соц сеть,"Ну и что, кому это интересно, может она парней меняет каждый месяц. А муж это уже конкретный статус",вопрос про поиск девушки в соц сетях
3023,а вы умный женщина,смотря с чем сравнивать)),А Вы умная женщина?
3024,почему парень так ревновать свой девушка к весь и весь,х_й их знает,почему парни так ревнуют своих девушек ко всему и вся?
3025,воздержание это здоровый образ жизнь,Как минимум это здоровее чем распутный образ жизни,"Воздержание, это здоровый образ жизни?"
3026,влияние неатив на отношение,"Девушка просто пока сама не знает, чего хочет. Поэтому подтягивает все возможные проблемы, прикрываясь ими. Пишите ей, не останавливайтесь и вместе с тем выкладывайте фотки тех интересных мест, в которых побывали. Она так быстрее поймет, что ведет себя глупо",Влияние неатива на отношения
3027,вобщий дело такой,"Забить а нее!!! Это тупо отмазки, если нет итернета можно позвонить, просто она занята с другими",Вобщем дело такое..
3028,девушка хотеть я что делать,А вы мальчик по вызову ???что так пофиг с кем ???мозги ваши только в трусах???,Девушка хочет меня. Что делать?
3029,зачем девушка выдавать себя не за тот какой есть на сам дело,Чтоб парень не сразу сбежал)),"Зачем девушки выдают себя не за тех, какими есть на самом деле?"
3030,с кто начать встречаться,"Те что постарше хотят секса и на долго их не хватит, поматросят и бросят а 18- ти летний реальный пацан, не в деньгах счастье... поймешь когда нибудь",С кем начать встречаться?
3031,к какой женщина мужик идти за секс,К блядской.,К какой женщине мужики идут за сексом?
3032,это любовь или циничный манипуляция под маска любовь ниже ситуация,"Просто обоюдное использование друг друга. Обоих это устраивало, до определенного момента, теперь Вас походу не устраивает. А вот дальше.... тут уже время покажет, чувства есть какие -то, или их нет. Если есть, возможен компромисс, если нет просто разбежитесь, либо же все останется на кругах своя как есть сейчас.",Это любовь или циничные манипуляции под маской любви? ниже ситуация
3033,объяснить что с я,Взрослеешь.Гормоны в тебе начинают играть.Хочется крепких и сильных объятий парня.,"Объясните, что со мной?"
3034,если бы ни ипотека и ребёнок ты бы никогда не жениться,"Такой кошмар, даже во сне не приснится)",Если бы ни ипотека и ребенок ты бы никогда не женился?
3035,встречаться с девушка и месяц оказываться у она есть парень,шл*ха да и только.,"Встречаюсь с девушкой 3 и месяца, оказывается у неё есть парень?"
3036,что делать если рыдать из за он,устройся на работу,Что делать если рыдаю из-за него?
3037,что ты делать для тот чтобы в ты не влюбляться,"Одеваю свободную спортивную одежду в тренажёрный зал. А чтобы не влюбляться самой, снимаю очки)))","Что ты делаешь для того, чтобы в тебя не влюблялись?"
3038,парень который я нравиться смотреть на я приподнять голова вверх,"Он вытягивает шею и смотрит на тебя сверху вниз, приподнимая при этом голову? Чо?))))))))))","Парень который мне нравится, смотрит на меня приподняв голову вверх"
3039,а у вы вызывать подозрение человек который ну вообще не пить значит они больной либо в прошлый быть алкоголик,"ДаЯ у себя постоянно подозрения вызываю, но не пойму в чем дело","А у вас вызывают подозрение люди которые ну вообще не пьют? Значит они больны, либо в прошлом были алкоголиками ?"
3040,вот почему так,Знает что помоете и прибете.,Вот почему так?
3041,пойти в магазин за булка купить всё мясо сыр коньяк молоко хлеб виноград кроме булка у вы тоже так,..ой да..)),"Пошла в магазин за булками, купила все: мясо, сыр, коньяк, молоко, хлеб, виноград, кроме булок... у вас тоже так? ("
3042,как смириться с тем что ты разлюбить,"возможно, ты за ним не ухаживал (а) взаимно, и он (а) подумал (а) что ты его (её) не любишь вот и обиделся (ась)","Как смириться с тем, что тебя разлюбили?"
3043,как быть если любимый изменить,Я 17 лет прожил с блядью.Зачем прыгать с одной на другую?А каким местом он изменил? Если секс утром и вечером?,"Как быть, если любимый изменил.!?"
3044,посоветовать совет что делать,"А с ним поговорить не думала? Мы тут экстрасенсы, телепаты?","Посоветуйте совет, что делать?"
3045,если мужчина пинать кошка то это признак скрытый агрессия и значит он дом весь бить быть,интересно дал бы тигру пинка?,"Если мужчина пинает кошек, то это признак скрытой агрессии и значит он дома всех бить будет?"
3046,парень сделать комплимент мой мама,Нормально),Парень сделал комплимент моей маме
3047,я врубиться си ки надо на грудие заменить и всё попрать а,"сумневаюсь я, но грудья не покажу! вдруг влюбишся",Я врубился. си-ки надо на грудья заменить. и все попрет А?
3048,весь можно достигнуть если действительно хотеть,"«Никакая цель не высока настолько, чтобы оправдывала недостойные средства для ее достижения» Альберт Эйнштейн.","всего можно достичь, если действительно хочешь?"
3049,вопрос к женщина какой подарок от мужчина вы счесть самый отвратительный и неуместный,Паука живого точно не оценю,Вопрос к женщинам: какой подарок от мужчины вы сочтете самым отвратительным и неуместным?
3050,почему если у юноша в не быть ни один девушка то он считать странный,Не было и не было. Зачем об этом на весь нет трубить. Или у троллей это сейчас актуальная тема,"Почему, если у юноши в 27 не было ни одной девушки, то его считают странным?"
3051,как понравиться парень если у он есть девушка,"Вот так и рождается блядство!!! А еще говорят что мужики-кобели, когда сами бабы не прочь залезть на чужого парня и отбить его!!!",Как понравиться парню если у него есть девушка? (
3052,что бы это значить,"Ну скорее всего ""Вау какая цыпа, у неё губки прям конфетка, но она слишком хороша для меня (((она меня не полюбит или бросит наполовину знакомства, но губки классные ничо не скажешь)))""",Что бы это значило ?
3053,стоить ли перестать смотреть порнуха когда уже есть жена,"Порнография губит браки и семьи:разрушая доверие, близкие отношения и любовь между супругами .подталкивая к эгоизму и вызывая эмоциональную отчужденность и неудовлетворенность своим спутником жизни .разжигая нездоровые сексуальные фантазии и желания .вызывая искушение склонить спутника жизни к половым извращениям .подталкивая к эмоциональной и буквальной измене .Даже мимолетное или случайное соприкосновение с порнографией может иметь горькие последствия. Ведущий специалист по изучению влияния порнографии Джудит Рейсман сказала: «Порнографические изображения отпечатываются в мозге и изменяют его, мгновенно оставляя в памяти непроизвольный, но продолжительный биохимический след, который очень трудно, а порой и невозможно стереть из памяти. ТАКЖЕ, порнографию осуждает наш Создатель. ""Всякий, кто продолжает смотреть на женщину и разжигается к ней страстью, уже совершил с ней прелюбодеяние в своем сердце» (Матфея 5:28).",стоит ли перестать смотреть порнуху когда уже есть жена?
3054,кто разбираеться в отношение что он хотеть от я,он хотел съебаса побыстрей,"Кто разбираеться в отношениях, что он хотел от меня?!"
3055,почему большинство девушка не мочь жить без мужчина они обязательно нужно чтобы у они быть парень муж,Инфантильность и боязнь ответственности в 1ю очередь за себя,"Почему большинство девушек, не могут жить без мужчин? Им обязательно нужно, чтобы у них был парень/муж"
3056,я не очень понятно так тут надо пропускать или нет,"Притормози, пусть проедет автозак!)))",Мне не очень понятно. Так тут надо пропускать или нет?
3057,зачем замужний женщина сидеть на с знак если не хотеть встречаться,"Песдец, скоро все слова станут сокращать до одной буквы",Зачем замужние женщины сидят на с. знак. если не хотят встречаться-?
3058,женщина вы бы выйти замуж за грузчик по большой любовь,"По большой любви что угодно сделать можно, разум же отсутствует в это время....","Женщины, вы бы вышли замуж за грузчика по большой любви ?"
3059,мужик и он проблема,Мужику надо было изначально головой. а не головкой думать. Вытянет. Она детские пособия будет получать. материнский капитал 20.000 может взять. а там ребенок подрастет. в сад сама на работу. В войну по 11-12 выращивали и не пропали.,Мужик и его проблемы
3060,какой женщина подойти мужчина нарцисс,любая.,какая женщина подойдет мужчине-нарциссу?
3061,мой парень в время ссора сказать этот фраза,3-4 раз в день? ..у него наверно уже член болит ))) ( и это правда),Мой парень во время ссоры сказал эту фразу
3062,мужчина как думать это пьяный гон,Бывает и не по пьяни... поверьте. мне один тут мужчина 2 месяца мозг выносил... а он не пьёт ни грамма....,"Мужчины, как думаете это пьяный гон?"
3063,что делать и кто если оставить трус у девушка когда родитель девушка против отношение после интимный отношение,Они хоть не в цветочек?))))) Рассмешил)))) Трусы то вернет. а вот родители глаз с нее теперь не спустят.,"Что делать, и кому, если оставил трусы у девушки когда родители девушки против отношений? После интимных отношений :)"
3064,женщина а вы бы смочь полюбить дворник,А почему нет? Пусть работает дворником. помогу ему поступить учиться. приобрести профессию. Это все временные трудности.,"Женщины, а вы бы смогли полюбить дворника ?"
3065,зачем вы отношение какой смысл вы в они видеть,Размножение же. Это очевидно)),Зачем Вам отношения? Какой смысл Вы в них видите?
3066,девушка негативно относиться к секс но сам приглашать домой,"Может у нее был негативный опыт и она надеется, что ты это исправишь","Девушка негативно относится к сексу, но сама приглашает домой."
3067,что делать если ты не любить никто никогда и человек не плохой я не завистливый не крыса,"Мне 34 года. С высоты прожитых лет сейчас чётко понимаю, что все те девушки, с которыми у меня были отношения не любили меня. Сейчас даже не совсем понятно зачем они создавали со мной отношения. Всего было примерно 8 девушек, из них на счет двух сомневался, но сейчас понимаю что и они не любили меня. На данный момент уже 8 год идет как нет отношений вовсе.",что делать если тебя не любил никто никогда и человек не плохой я? не завистливый? не крыса
3068,как избегать напрячь отношение,Не грузиться и быть лояльным)),Как избегать напряжённых отношений?
3069,как супермен найти девушка где у я суперсила при интимный близость мочь нанести вред,"Какова убойная сила... снаряда?)) Может, ну их, этих баб и к нам в оборонку - в качестве секретного оружия подашься?))","Как супермену найти девушку? Где? У меня суперсила, при интимной близости могу нанести вред"
3070,как избавиться от привычка постоянно рыдать от осознание тот что я одинокий и никто не нужный,Посчитай это преимуществом которого у кого-либо нет)),"Как избавиться от привычки постоянно рыдать от осознания того, что я одинок и никому не нужен?"
3071,я не понять какой разница девушка злой старча или молодой раз чпокать они одинкакий качественно,Все индивидуально,"Я не пойму, какая разница девушкам, злое... старче или молодой, раз чпокают их одинкакого качественно,"
3072,муж общаться на сайт с другой деваха и на секс знакомстав и в скайп хенгаус и так далее я,Вот блин и мы ни черта не понимаем! Что нам не хватает и кто блин нам этого НЕ дает блин!,Муж общается на сайтах с другими девахами и на секс знакомставах и в скайпе хенгаусе и т. д я
3073,он ставить лайк не знакомый девушка а я нет,Жертва. Всегда смешно было когда из девушке делаеш жертву а она бегает,"Он ставит лайки не знакомым девушкам, а мне нет."
3074,оценить ваш отношение по шкала от один до десять какой оно,А вы зло или добро. Зло,"Оцени ваши отношения по шкале от одного до десяти, какое оно?"
3075,если муж с жена не спать то кто виноватый,а с кем он спит?,"Если муж с женой не спит, то кто виноват?"
3076,что шептать вы это утро мочь быть что то про отношение,он уже дома),"Что шепчет вам это утро? Может быть, что-то про отношения?)))"
3077,нравиться он почему он попросить я остаться вопрос мужчина,"Нравитесь, нравитесь. Кто бы сомневался. Ключевое тут: «мне 23, ему 37». ;))Вопрос в том, вам-то зачем такой старпер?! ;))",Нравлюсь Ему? Почему он попросил меня остаться? Вопрос мужчинам
3078,что тянуть замужний женщина на приключение с другой мужчина но брак не желать портить,муж бухает и не чпокает её,"Что тянет замужних женщин на приключения с другими мужчинами, но брак не желающие портить?"
3079,что делать если родственник парень против я,"главное, чтобы он не был против...",что делать если родственники парня против меня
3080,помочь совет что делать в такой ситуация,Это было до вас. У вас еще будут девушки. и что всех контролировать у кого когда с кем было. Зря вы так. А если уже отвращение. тогда и не стоит продолжать отношения.,"Помогите советом, что делать в такой ситуации?"
3081,что нужно делать чтобы мужчина предложить что то больший чем просто встречиться жильё,"В таком случае знай, что такой мужчина не отнесется к тебе как к женщине. Скорее как к шл*хе, которых много... Измени свои взгляды, если ты хорошая женщина, он тебе от души что-нибудь и подарит)))","Что нужно делать, чтобы мужчина предложил что то большее, чем просто встречатся? жилье..."
3082,противоположность сходиться или подобный к подобный ваш наблюдение спасибо за ответ,Сходятся родственные души я бы сказала.,Противоположности сходятся или подобное к подобному? Ваши наблюдения. Спасибо за ответы.
3083,почему когда девушка говорить менеджер на работа пак мариночка другой девушка тоже повторять за она,"Вопрос то в чём, ну попрощались и что?)))))))))",Почему когда девушка говорит менеджеру на работе» пака Мариночка Другая девушка тоже повторяет за ней??
3084,о чем говорить умение говорить нет другой человек,о том что ты себя уважаешь,"О чем говорит умение говорить нет, другим людям??"
3085,девушка комплексовать из за не опытность в полова жизнь,"Тут надо самом вести интим с ней так, чтобы она раскрепостилась! Это длительный процесс, месяцев на шесть, - станешь..!",Девушка комплексует из-за не опытности в половой жизни
3086,что он нужно,"скорее всего ваша инициатива ему и не понравилась а когда узнал вас получше, уже как говориться позняк... вам и только вам решать нужен он или нет, он не сделал вам ничего плохово но зато и вы узнали что по инициативе другой он не поведётся...",Что ему нужно ?
3087,помочь с очень серьёзный ситуация,"Мне кажется то что она ""твоя девушка"" ты сам придумал, она по сути и не скрывает что с ним пишется, она как и он не дураки и понимают что ты заметишь это но как не странно им плевать, хотя оба могли для этого создать хоть с десяток страничек и не только в ВК и ты бы не сном, не духом ...возможно и тебе стоит с кем то познакомиться и уделить ей внимание, авось твоя опомнится.",Помогите с очень серьезной ситуацией!
3088,я мой полова орган в длина смотреть и смотреть в толщина в стоячий состояние это норма,Сказочник.,Мне 14 мой половой орган в длину 19.5см и 5.7см в толщину в стоячем состоянии это норма?
3089,что нужно купить в дом чтобы в он появиться мужчина,"Еда, еда, и ещё раз еда.","Что нужно купить в дом, чтобы в нём появился мужчина ?"
3090,девушка добавлять фото с облако и парень делать фото с себя напротив облако что значит,они оба летают.,Девушка ДобавлЯет фото с облаками и парень делает фото с собой напротив облаков что значит?
3091,одноклассница спрашивать далее з только у я,"Да, но она может стеснятся своих чувств.",Одноклассница спрашивает д. з только у меня
3092,сегодня я вручить подержать шуруповёрт мужчина ты шуруповереть пользоваться уметь ведь иногда,"Умею, это же просто.","Сегодня мне вручили подержать шуруповёрт))) Мужчина, ты шуруповёртом пользоваться умеешь? Ведь иногда"
3093,нужно ли заключать с девушка договор на кекс что надо писать,"В жены бери, если буде халявить, то разводись",Нужно ли заключать с девушкой договор на кекс? что надо писать?
3094,можно ли жениться на девушка сразу,"любить одну и жить с ней в счастье намного лучше, чем запутаться в чувствах и выносить ревности других.",Можно ли жениться на 10 девушках сразу?
3095,я не понимать девушка что они хотеть как найти тот самый кто нужно быть чтобы ты полюбить если вопрос внутри,"Хм... ты слишком идеальный! Попробуй быть постеснительней... типо забудь подарок, будь неряшливым, глупые несмешные шутки выдавай и вот тогда более менее будет равенство, ато бывает и девушка лучше мужика во всём, в твоём случае как они считают лы лучше всех их! Ну и вот так. Рад был помочь:)","Я не понимаю девушек, чего они хотят, как найти ту самую, кем нужно быть, чтобы тебя полюбили если... (вопрос внутри)"
3096,оптимальный возраст по мёд соображение для зачатие ребёнок у мужчина и у женщина почему в общество всё извратить,Где ты этот бред вычитал?,Оптимальный возраст (по мед. соображениям) для зачатия детей 18 у мужчин и 25 у женщин. Почему в обществе всё извращено?
3097,знакомство в интернет отношение на расстояние мочь ли быть с счастливый конец,"По опыту знаю, да. Но только в том случае, если они настоящие.","Знакомства в интернете, отношения на расстоянии могут ли быть с счастливым концом?"
3098,задать вопрос отпугивать умный девушка,Сам придумал свой бред сам и верь в него. Я в попов не верю.,Заданный вопрос отпугивает умных девушек.
3099,интерес у девушка как заинтересовать девушка как сделать так чтобы девушка влюбиться и как с она общаться,"Ну если в тебе нет этого знания, то куда ты лезешь-то. Будь искренним, будь собой.","Интерес у девушки Как заинтересовать девушку? Как сделать так, чтобы девушка влюбилась и как с ней общаться"
3100,можно ли забеременеть от слизь девушка село голый на я сверху на мой трус,"только если она резко на руки встанет, тогда возможно капля стечет к матке","Можно ли забеременеть от слизи, девушка села голая на меня сверху, на мои трусы?"
3101,почему человек не учиться строить отношение,делать больше не чего как только хуйнёй заниматься. иди строй в дом 2,Почему люди не учатся строить отношения?
3102,женщина вы бы выйти замуж за мужчина проститутка он продавать свой интим услуга для дать за бабло,Женщина сказала)))) умора)))),"Женщины, вы бы вышли замуж за мужчину-проститутку? он продавал свои интим услуги (для дам) за бабло"
3103,стоить ли вообще начинать с кто то дружить и общаться если никто не хотеть с ты общаться и дружить,в итоге может так получиться https://otvet.mail.ru/question/211087872,"Стоит ли вообще начинать с кем-то дружить и общаться, если никто не хочет с тобой общаться и дружить?"
3104,почему девушка улыбаться когда смотреть на она но улыбаться не в лицо глядеть в сторона или вниз,"Она смущается твоего взгляда, нравишься ей. Когда мы с моей друг другу признались в любви, встретились лично только через пару дней. И при встрече она тоже прятала глаза. Это фишка женская такая, все скромняши, когда стесняются)","Почему??? девушка улыбается, когда смотрю на нее, но улыбается не в лицо. глядя в сторону, или вниз.:"
3105,что плохой чтоб найти один и на весь жизнь и почему писать что этот один рано или поздно захотеть попробовать другой,все хотятно такое редко,Что плохого чтоб найти одну и на всю жизнь и почему пишут что эта одна рано или поздно захочет попробовать другие
3106,росляк быть девственник,"Он был опасным шизофреником, отвечаю. Я такого одного знал - как все свободно вздохнули, когда он копыта отбросил, только поздно, в 35 лет.. Помер бы раньше, хоть чего-то хорошее в памяти осталось. Выражение глаз и взгляд - вообще один в один. Таких надо выявлять и изолировать в детстве - в СССР так и делали.",Росляков был девственник?
3107,можно сказать по телефон что человек дорога и я хотеть начать сначала ещё раз лично не вариант,"Если честно, всегда был за то, чтобы решать вопросы и подобные вещи лично. Но если боишься - можешь по телефону.",Можно сказать по телефону? Что человек дорог и я хочу начать сначала ещё раз? Лично не вариант
3108,мочь ли парень говорить девушка что она он смущать или это быть звучать буд то парень тряпка,Это будет означать предложение на секс.,"Может ли парень говорить девушке, что она его смущает? Или это будет звучать, буд-то парень - тряпка?"
3109,если завесть девушка на чай или на ужин или смотреть фильм к себя домой она понять что значит уже пора дать секс,Это почти аксиома.,Если завешь девушку на чай или на ужин или смотреть фильм к себе домой? Она поймет что значит уже пора дать секс ?
3110,не понимать он повидение опять игнора,осёл какой-тоу меня при похожих обстоятельствах очень жаркий секас были не один день,"Не понимаю его повидение, опять игнор..."
3111,как начать встоечаться с подруга,"""строить отношения"" ...фраза какая ублюдская ...не смотри Дом2",Как начать встоечаться с подругой?
3112,я нравиться парень друг из класс я хотеться бы чтобы мы встречаться посоветовать пожалуйста что то,Встречайтесь! В чем собственно проблема?Шаги1.заявить о симпатии2.сходить на несколько свиданий или просто пообщаться какое-то время3.понять что этот человек тебе действительно нравится (может выясниться обратное)4.предложить встречаться или забить (в зависимости от шага 3),"Мне нравится парень-друг из класса, мне хотелось бы, чтобы мы встречались . Посоветуйте пожалуйста что-то?!"
3113,являться ли меркантилизм то,Между «хотеть» и «требовать» есть разница.Хотеть можно чего угодно,Является ли меркантилизмом то
3114,нормально ли если у девушка остаться свободный билет в кино и она приглашать свой коллега мужчина,Абсолютно нормально,Нормально ли если у девушки остался свободный билет в кино и она приглашает своего коллегу мужчину?
3115,сап майлруч понакидать подкат к тян,"Да, какой сам, такой и вопрос!",Сап майлруч понакидайте подкатов к тян
3116,что делать если ты понять фундаментальный закон общение между м и ж и ты стать очень грустно,Не умничай! Начитался....,что делать если ты понял фундаментальный закон общения между М и Ж и тебе стало очень грустно?
3117,почему сужчин иногда просто помогать деньга бывать даже без секс и аж год,Троллишь.,"Почему сужчины иногда просто помогают деньгами, бывает даже без секса, и аж 3 года"
3118,я я беременный,"у мамаши своей спроси, я слышал расса троллей в 9 лет рожает выродков",Мне 15 я беременна
3119,как отношение сделать серьёзный,Поссорьтесь из за ерунды ..,Как отношения сделать серьёзными?
3120,почему женщина любить учить мужчина ум разум,они же по-своему все видят,Почему женщины любят учить мужчин уму-разуму ?
3121,вы хотеться сейчас всё бросить и пойти на свидание,нет,Вам хочется сейчас всё бросить и пойти на свидание?)))
3122,мочь я такой в свой год не как не мочь решиться подойти к девушка много раз думать почему мочь от,"И не начинай, сломаешься при первом же её закидоне, коли морально не готов к предательству!","Может я 1 такой в свои 32 лет не как не могу Решиться подойти к Девушкам. Много раз думал почему, может от"
3123,вы бы хотеть в год себя жена по внешность как шикарный любовь успенский и такой же возраст как она,в любом случае она интересная ...много повидала знает...,Вы бы хотели в 25-30лет себе жену по внешности как шикарная Любовь Успенская и такого же возраста как она?
3124,если мужчина жениться это звоночек,ага... уже звонишь кому-то,"Если мужчина женился, это звоночек?"
3125,жена постоянно общаться с свой коллега,"Что за МуЖчиНа ты? раз у нас спрашиваешь? нам откуда знать тО !? а !? держите жён своих! В кулаке и не будет пробЛем , ( не обижайся)",Жена постоянно общалась со своим коллегой.
3126,помочь с девушка,Наверно из вежливости или приятно общаться,Помогите с девушкой
